"title","author",flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,readability_consensus,syllable_count,lexicon_count,sentence_count
"20000 Leagues Under the Sea","Jules Verne",
"Aesops Fables","Aesop",
"Alice in Wonderland","Lewis Carroll",
"Anna Karenina","Leo Tolstoy",
"A Tale of Two Cities","Charles Dickens",69.11,11.2,8.3,10.21,10.4,6.34,14799,10.5,9.6,10th and 11th grade,183181.0,132594,6958
"Candide","Voltaire",65.05,13.0,9.9,10.22,12.6,7.05,5177,14.0,11.2,12th and 13th grade,51286.0,36024,1510
"Castle of Otranto","Horace Walpole",70.13,11.2,7.9,11.31,11.2,6.7,4710,7.5,9.2,7th and 8th grade,48410.0,34207,1824
"David Copperfield","Charles Dickens",78.59,8.8,6.8,9.4,9.5,5.71,26180,7.5,9.2,9th and 10th grade,468978.0,349531,18826
"Don Quixote","Miguel de Cervantes Saavedra",
"Dracula","Bram Stoker",79.6,8.8,6.4,6.9,7.1,5.68,12048,14.0,8.8,6th and 7th grade,201564.0,158153,9138
"Dubliners","James Joyce",
"Frankenstein","Mary Shelley",65.05,13.0,9.9,9.87,12.0,6.57,8414,8.5,11.2,9th and 10th grade,106954.0,74298,3186
"Grimms Complete Fairy Tales","Jacob Grimm",81.97,8.8,7.5,7.32,10.1,5.72,6022,8.0,11.2,7th and 8th grade,122119.0,100417,4255
"Gullivers Travels","Jonathan Swift",50.84,14.6,15.4,9.76,18.6,6.98,9907,12.5,16.8,14th and 15th grade,144913.0,103570,2797
"Holy Bible King James Version","The Vaticanx",72.5,8.8,9.1,8.59,11.7,5.72,10380,11.0,11.6,8th and 9th grade,229838.0,182794,7414
"Jane Eyre","Charlotte Bronte",69.11,11.2,8.3,10.04,10.6,6.44,21348,8.5,9.6,10th and 11th grade,250292.0,181101,9222
"Madame Bovary","Gustave Flaubert,",70.13,11.2,7.9,10.15,10.3,6.5,14049,11.5,9.2,11th and 12th grade,157293.0,112820,5975
"Moby Dick","Herman Melville",
"Oliver Twist","Charles Dickens",70.13,11.2,7.9,10.27,10.3,6.21,16262,9.0,9.2,10th and 11th grade,210556.0,152365,8158
"Paradise Lost","John Milton",
"Pride and Prejudice","Jane Austen",70.13,11.2,7.9,9.98,10.1,5.9,10389,15.0,9.2,9th and 10th grade,170925.0,119503,6348
"Sense and Sensibility","Jane Austen",66.07,13.0,9.5,10.1,11.8,6.16,10576,19.5,10.8,10th and 11th grade,167324.0,116769,5300
"Tao Te Ching","Lao Tzu",70.13,11.2,7.9,10.91,10.8,7.49,1828,8.0,9.2,10th and 11th grade,14092.0,9751,521
"The Adventures of Huckleberry Finn","Mark Twain",
"The Adventures of Tom Sawyer","Mark Twain",
"The Complete Works of William Shakespeare","William Shakespearex",
"The Divine Comedy Inferno Purgatorio Paradiso","Dante",54.56,13.0,11.9,12.6,15.6,8.1,20085,9.0,12.0,12th and 13th grade,149178.0,98287,3788
"The Iliad","Homer",
"The Odyssey","Homer",
"The Phantom of the Opera","Gaston Leroux",
"The Picture of Dorian Gray","Oscar Wilde",
"The Rtxtlic","Plato.epub",
"The Social Contract","Jean Jacques Rousseau",
"The Sound and the Fury","William Faulkner",83.66,3.1,4.8,7.36,6.0,5.65,8918,9.0,7.2,5th and 6th grade,129370.0,102572,7371
"The Wind in the Willows","Kenneth Grahame",
"Ulysses","James Joyce",
"Vanity Fair","William Makepeace Thackeray",
"Vathek","William Beckford",44.41,15.9,15.8,11.79,19.3,7.94,5963,11.0,16.0,15th and 16th grade,53924.0,36635,1042
"War and Peace","Leo Tolstoy",
"Wuthering Heights","Emily Bronte",
